id,predicted_disease,image_to_fetch,image_type,all_symptoms,mapped_disease,mapped_all_symptoms
MM-135,dapsone,MM-135-a.jpeg,Clinical photograph (externally captured patient image),"['anxiety', 'bluish discoloration', 'bluish discoloration on lips and tongue', 'insomnia', 'resting tremor']",dapsone,"['insomnia', 'gum discoloration', 'anxiety', 'tongue', 'resting tremor']"
MM-142,rotator cuff tear,MM-142-a.jpeg,Pathology / histopathology slide,"['73 years of age', 'pack of cigarette smoking per week', 'right-handed dominance', 'smokes one pack of cigarettes per week', 'surgical repair 4 weeks after injury']",rotator cuff tear,"['smoking', 'age', 'surgical', 'pack', 'right-handed']"
MM-156,renal artery stenosis,MM-156-a.jpeg,CT scan,"['hypertension', 'increased renin production', 'resistant hypertension']",artery stenosis,"['resistant', 'increased renin', 'hypertension']"
MM-161,hyperaldosteronism,MM-161-a.jpeg,X-ray,"['confusion', 'decreased lung fields', 'increased aortic arch', 'increased heart size', 'increased mediastinum width', 'nausea', 'night sweats', 'pleural effusion', 'pneumothorax', 'somnolence', 'unintentional weight loss', 'vomiting']",hyperaldosteronism os,"['mediastinum', 'aortic arch', 'pneumothorax', 'decreased', 'nausea', 'vomiting', 'increased heart size', 'confusion', 'somnolence', 'pleural effusion', 'night sweats', 'weight loss']"
MM-162,pubic ramus fracture,MM-162-a.jpeg,X-ray,"['15-year-old', 'bone displacement', 'bone fracture', 'fall from bicycle', 'hip dislocation', 'joint misalignment', 'joint subluxation', 'landing on left hip', 'unable to bear weight']",pubic,"['left hip', 'unable', 'year', 'fall', 'displacement', 'joint', 'joint subluxation', 'hip dislocation', 'bone fracture']"
MM-164,cowpox,MM-164-a.jpeg,Clinical photograph (externally captured patient image),"['failed to respond to antibiotic treatment', 'persistent for three weeks', 'positive pcr results for orthopoxvirus dna and cowpox virus-specific oligonucleotides.', 'ulcerated lesion', 'ulcerated lesion on cheek']",cowpox,"['positive', 'ulcerated', 'persistence', 'treatment']"
MM-175,multiple myeloma,MM-175-a.jpeg,X-ray,"['1', '25-dihydroxyvitamin d', 'elevated alkaline phosphatase', 'hip pain', 'hypercalcemia', 'mild hip tenderness', 'mild sacral tenderness', 'monoclonal plasma cells', 'pain aggravated by activity', 'parathyroid hormone-related peptide', 'pelvic pain', 'progressive joint pain']",myeloma,"['parathyroid hormone-related peptide', 'pelvic pain', 'hypercalcemia', 'hip tenderness', 'monoclonal', 'elevated alkaline phosphatase', 'joint pain', 'hip pain', 'tenderness', 'aggravated by activity', 'dihydroxyvitamin d']"
MM-178,lupus,MM-178-a.jpeg,Clinical photograph (externally captured patient image),"['decreased platelets', 'elevated bun', 'elevated creatinine', 'fever', 'history of miscarriages', 'hypertension', 'increased pt and ptt', 'joint pain']",lupus,"['miscarriages', 'hypertension', 'elevated creatinine', 'elevated bun', 'joint pain', 'increased pt and ptt', 'fever', 'decreased platelets']"
MM-186,collagenous,MM-186-a.jpeg,Pathology / histopathology slide,"['abdominal pain', 'arthritis', 'autoimmune thyroiditis', 'diarrhea frequency >6 per day', 'fecal urgency', 'gastroesophageal reflux disease', 'incontinence', 'lymphocytic', 'medications: levothyroxine, lansoprazole, nsaids', 'ulcerative', 'voluminous stools', 'watery diarrhea']",collagenous,"['gastroesophageal reflux', 'watery diarrhea', 'incontinence pad', 'autoimmune thyroiditis', 'medications', 'diarrhea frequency', 'voluminous stools', 'fecal', 'r arthritis', 'abdominal', 'ulcerative']"
MM-187,polycystic kidney disease,MM-187-a.jpeg,CT scan,"['bilateral nontender flank masses', 'dark urine', 'elevated blood pressure', 'elevated bun', 'elevated chloride', 'elevated creatinine', 'elevated glucose', 'elevated potassium', 'elevated sodium', 'flank masses', 'hematuria', 'hyperkalemia', 'hypertension', 'oliguria']",kidney,"['chloride', 'hypertension', 'potassium', 'elevated creatinine', 'elevated bun', 'oliguria', 'no hematuria', 'elevated glucose', 'sodium', 'dark urine', 'elevated blood pressure', 'hyperkalemia', 'flank']"
MM-188,hemolytic uremic syndrome,MM-188-a.jpeg,Pathology / histopathology slide,"['anemia', 'cardiac murmur', 'cough', 'elevated inr', 'fever', 'fragmented erythrocytes', 'leukocytosis', 'pulmonary crackles', 'shortness of breath', 'thrombocytopenia']",uremic syndrome,"['shortness of breath', 'fragmented erythrocytes', 'aleukocytosis', 'inr', 'cardiac', 'fever', 'thrombocytopenia 3', 'pulmonary', 'cough', 'anemia']"
MM-210,meningitis,MM-210-a.jpeg,Clinical photograph (externally captured patient image),"['elevated crp', 'elevated esr', 'fever', 'malaise']",tb meningitis,"['p elevated', 'malaise', 'fever', 'elevated esr']"
MM-213,retinal detachment,MM-213-a.jpeg,Ultrasound,"['flashing lights', 'hazy vision', 'headache', 'hypertension', 'vitreous hemorrhage']",detachment,"['flashing lights', 'hypertension', 'vitreous', 'headache', 'hazy vision']"
MM-216,hepatitis c cryoglobulinemic vasculitis,MM-216-a.jpeg,Clinical photograph (externally captured patient image),"['joint pain', 'low hematocrit', 'mild pallor', 'negative hepatitis b surface antigen', 'palpable purpura', 'palpable purpuric lesions', 'positive antineutroph', 'positive antineutrophil antibody', 'positive hepatitis b antibody', 'positive hepatitis c antigen', 'positive rheumatoid factor', 'purpura', 'rash', 'ulcerations', 'ulcers']",cryoglobulinemic vasculitis,"['low hematocrit', 'ulcerations', 'pallor', 'palpable purpura', 'hepatitis b antibody', 'rash', 'positive', 'joint pain', 'ulcer', 'lesions', 'purpura', 'hepatitis b surface antigen']"
MM-219,ankylosing spondylitis,MM-219-a.jpeg,ECG,"['bilateral lower extremity edema', 'bradycardia', 'dizziness', 'fatigue', 'lightheadedness', 'low back pain', 'low blood pressure', 'mild bilateral lower extremity edema', 'shortness of breath', 'tachypnea', 'weak pulse', 'worsening low back pain']",spondylitis,"['tachypnea', 'low back pain', 'bilateral lower extremity edema', 'dizziness', 'fatigue', 'lightheadedness', 'bradycardia', 'weak pulse', 'blood pressure', 'shortness of breath']"
MM-224,cholel,MM-224-a.jpeg,CT scan,"['abdominal pain', 'epigastric tenderness', 'pain radiation to right shoulder', 'pain worse after meals', 'regenerative nodules of hepatocytes surrounded by fibrous connective tissue bridges', 'right upper abdominal pain']",cholel,"['upper abdominal pain', 'worse', 'epigastric tenderness', 'nodules', 'right shoulder', 'abdominal']"
MM-230,diabetic ketoacidosis,MM-230-a.jpeg,Medical document or report,"['abdominal pain', 'decreased bicarbonate', 'decreased ph', 'deep labored breathing', 'increased potassium', 'increased sodium', 'intermittent difficult to arouse', 'lethargy', 'slow response to questions', 'tachycardia', 'tachypnea', 'vomiting']",diabetic ketoacidosis,"['response', 'tachypnea', 'labored breathing', 'difficult', 'vomiting', 'bicarbonate', 'decreased ph', 'lethargy', 'tachycardia', 'increased potassium', 'increased sodium', 'abdominal']"
MM-231,sle,MM-231-a.jpeg,Clinical photograph (externally captured patient image),"['acne', 'anemia', 'fatigue', 'fever', 'joint pain', 'leukopenia', 'poor appetite', 'redness', 'splenomegaly', 'stiffness', 'swelling', 'swollen wrists', 'tender wrists', 'thrombocytopenia', 'weight loss']",sle,"['acne', 'swelling', 'wrists', 'poor appetite', 'am stiffness', 'leukopenias', 'weight loss', 'joint pain', 'swollen wrists', 'fever', 'fatigue', 'redness', 'thrombocytopenia 3', 'no splenomegaly', 'anemia']"
MM-234,juvenile rheumatoid arthritis,MM-234-a.jpeg,Clinical photograph (externally captured patient image),"['juvenile rheumatoid arthritis', 'left knee flexion contracture', 'no visible medical symptoms']",juvenile rheumatoid a.,"['symptoms', 'juvenile rheumatoid arthritis', 'knee flexion']"
MM-236,wolffparkinsonwhite,MM-236-a.jpeg,Medical document or report,"['high right atrial distal', 'right septal concealed and right-sided mahaim', 'symptomatic wolff-parkinson-white syndrome']",wolff-parkinson-white syndrome,"['asymptomatic', 'distal', 'hand right']"
MM-242,hydrocele,MM-242-a.jpeg,Ultrasound,"['abnormal semen analysis', 'asymptomatic', 'cremasteric areflexia', 'generalized anxiety disorder', 'increased urinary hcg', 'infrequent barrier contraception use', 'normal temperature', 'positive chlamydia naat', 'scrotal distention with valsalva maneuver', 'scrotal enlargement']",testicular hydrocele,"['areflexia', 'normal temperature', 'urinary hcg', 'enlargement', 'generalized anxiety', 'barrier contraception', 'chlamydia', 'abnormal semen', 'valsalva maneuver', 'asymptomatic']"
MM-250,volkmann ischemic contracture,MM-250-b.jpeg,Clinical photograph (externally captured patient image),"['5-year-old', 'arm fracture', 'flexion contracture of the wrist and hand', 'flexion contracture of wrist and hand', 'severe pain during passive finger extension', 'severe pain on passive finger extension']",volkmann ischemic contracture,"['arm fracture', 'severe pain', 'wrist and hand', 'year']"
MM-255,metastatic prostate cancer,MM-255-a.jpeg,X-ray,"['bilateral foot pain', 'chronic bunion and claw toe deformities', 'difficulty wearing shoes', 'history of prostate cancer', 'increasing pain in great and lesser toes', 'lesion in right tibia', 'lesion in the right tibia', 'more pronounced on the right side.', 'right foot pain more pronounced']",metastatic prostate cancer,"['wright', 'swearing', 'chronic', 'right tibia', 'pain', 'prostate cancer', 'bilateral foot pain', 'right foot']"
MM-261,adenomatous polyp,MM-261-a.jpeg,Pathology / histopathology slide,"['asymptomatic', 'asymptomatic patient', 'biopsy specimen', 'polypectomy', 'polypoid lesions']",adenomyomatous polyp,"['lesions', 'specimen', 'polypectomy', 'asymptomatic']"
MM-276,hypercalcemia,MM-276-a.jpeg,X-ray,"['abdominal pain', 'cough', 'difficulty concentrating', 'elevated alkaline phosphatase', 'gerd symptoms poorly controlled', 'hypercalcemia', 'hypophosphatemia', 'increased parathyroid hormone', 'unintentional weight loss']",hypercalcemias,"['hypophosphatemias', 'hypercalcemia', 'controlled', 'elevated alkaline phosphatase', 'cough', 'parathyroid hormone', 'no difficulty concentrating', 'abdominal', 'weight loss']"
MM-277,behcets,MM-277-a.jpeg,Clinical photograph (externally captured patient image),"['alcohol-induced headache worsening', 'blurred vision', 'headaches', 'improvement with exercise', 'lower back pain', 'morning back pain worsening', 'nighttime headaches', 'photophobia', 'red eye', 'right eye pain', 'sensitivity to light', 'watery discharge', 'watery eye discharge']",behcet,"['discharge', 'lower back', 'right eye pain', 'sensitivity', 'eye discharge', 'worsening', 'photophobias', 'red eye', 'pain worsening', 'vision', 'exercise', 'headaches']"
MM-278,hypertrophic cardiomyopathy,MM-278-a.jpeg,Medical document or report,"['a', 'b', 'c', 'd', 'e', 'palpitations', 'pre-systolic gallop', 'syncope', 'systolic murmur']",hypertrophic cardiomyopathy,"['murmur', 'asystolic', 'syncope', 'palpitations']"
MM-281,typhoid fever,MM-281-a.jpeg,X-ray,"['atelectasis', 'chills', 'consolidation', 'fever', 'malaise', 'piloerection', 'pleural eff', 'pleural effusion', 'pneumonia', 'poor appetite', 'rhinorrhea', 'rigors', 'tachycardia', 'vomiting', 'weakness']",typhoid fever,"['consolidation', 'chills', 'rhinorrhea', 'weakness', 'piloerection', 'malaise', 'vomiting', 'fever', 'atelectasis', 'tachycardia', 'pleural effusion', 'pneumonias', 'pleural', 'rigor', 'poor appetite']"
MM-294,waarden,MM-294-a.jpeg,Clinical photograph (externally captured patient image),"['(c) melanin biosynthesis', '(e) melanocyte distribution', 'congenital deafness', 'developmental delay', 'patchy depigmentation', 'spina bifida', 'tachycardia', 'tachypnea', 'white forelock']",waarden,"['tachypnea', 'fh: spina bifida', 'patchy depigmentation', 'congenital deafness', 'white forelock', 'mental developmental delay', 'tachycardia', 'zli biosynthesis']"
MM-314,cirrhosis,MM-314-a.jpeg,Clinical photograph (externally captured patient image),"['ascites', 'banded esophageal varices', 'bleeding esophageal varices', 'caput medusae', 'engorged veins', 'hematemesis', 'hypotension', 'pallor', 'shifting dullness', 'splenomegaly', 'tachycardia']",no cirrhosis,"['pallor', 'caput medusae', 'varices', 'hematemesis', 'hypotensin', 'shifting dullness', 'bleeding esophageal', 'tachycardia', 'ascites', 'veins', 'no splenomegaly']"
MM-320,hemolytic disease of the newborn,MM-320-a.jpeg,Pathology / histopathology slide,"['cyanosis', 'fever', 'jaundice', 'maternal antibodies against the rhesus d antigen', 'reduced flexion of extremities', 'splenomegaly']",hemolytic disease,"['antibodies', 'extremities', 'cyanosin', 'jaundice', 'fever', 'no splenomegaly']"
MM-321,herpes simplex virus,MM-321-a.jpeg,Clinical photograph (externally captured patient image),"['2-cm painless ulcerated lesion on vaginal mucosa', 'allergy to ampicillin causing anaphylaxis', 'asthma', 'bilateral nontender inguinal lymphadenopathy', 'crohn disease', 'history of cold sores', 'history of vulvar lesion', 'mild nausea', 'occasional nonbloody diarrhea', 'painful ulcerated lesion', 'sexually active']",simplex,"['inguinal', 'asthma', 'nausea', 'ulcerated', 'allergy to ampicillin', 'vulvar lesion', 'diarrhea', 'history of cold sores', 'sexually active', 'crohn disease']"
MM-322,dermatomyositis,MM-322-a.jpeg,Clinical photograph (externally captured patient image),"['characteristic hand findings', 'characteristic hand findings (rash on fingers)', 'erythema', 'erythema on face', 'muscle tenderness', 'muscle weakness', 'normal sensory examination.', 'normal vital signs', 'painful pallor in fingers', 'progressive muscle weakness', 'rash on face and hands', 'reduced muscle strength', 'tenderness on palpation of muscle groups', 'upper eyelid swelling']",dermatomyositis,"['painful', 'reduced muscle strength', 'face', 'findings', 'eyelid swelling', 'muscle tenderness', 'normal vital signs', 'rash on face', 'tenderness', 'examination', 'muscle weakness', 'ulerythema']"
MM-343,tripe palms,MM-343-a.jpeg,Clinical photograph (externally captured patient image),"['distinct demarcation of palmar creases', 'painful hand lesions', 'prominent skin ridging', 'pruritic hand lesions', 'velvety changes to palmar surfaces', 'velvety changes to the palmar surfaces']",tripe palms,"['palmar surface', 'palmar creases', 'hand lesions', 'painful hand', 'skin']"
MM-362,graves disease,MM-362-a.jpeg,Clinical photograph (externally captured patient image),"['facial puffiness', 'fatigue', 'muscle soreness', 'night sweats', 'palpitations', 'restlessness', 'smooth palpable anterior neck mass', 'smooth palpable mass in the anterior neck', 'tremors', 'weakness']",graves disease,"['facial puffiness', 'restlessness', 'weakness', 'anterior neck mass', 'tremors', 'fatigue', 'palpitations', 'palpable mass', 'night sweats', 'muscle soreness']"
MM-368,seborrheic dermatitis,MM-368-a.jpeg,Clinical photograph (externally captured patient image),"['adult', 'beard line involvement', 'dandruff', 'dandruff formation', 'erythematous plaques', 'fever', 'nasolabial folds involvement', 'posterior scalp involvement', 'pruritus', 'severe erythematous rash', 'well-demarcated erythematous plaques', 'well-demarcated rash', 'yellow greasy scales']",seborrheic dermatitis nos,"['pruritus', 'dandruff', 'well', 'nasolabial folds', 'beard', 'erythematous plaques', 'erythematous rash', 'fever', 'greasy scales', 'adult', 'posterior']"
